country_iso3,country_name,year,pathway,vulnerability,resilience,risk,vulnerability_level,resilience_level,risk_level,n_indicators
DZA,Algeria,2005,Climate,0.1512,0.0751,0.5381,very low,very low,moderate,2
DZA,Algeria,2006,Climate,0.1467,0.0502,0.5482,very low,very low,moderate,2
DZA,Algeria,2007,Climate,0.1457,0.0254,0.5602,very low,very low,moderate,2
DZA,Algeria,2008,Climate,0.1276,0.0005,0.5635,very low,very low,moderate,2
DZA,Algeria,2009,Climate,0.1852,0.0,0.5926,very low,very low,moderate,2
DZA,Algeria,2010,Climate,0.1739,0.0,0.587,very low,very low,moderate,2
DZA,Algeria,2011,Climate,0.1635,0.0,0.5817,very low,very low,moderate,2
DZA,Algeria,2012,Climate,0.1855,0.0,0.5928,very low,very low,moderate,2
DZA,Algeria,2013,Climate,0.2111,0.0,0.6055,low,very low,high,2
DZA,Algeria,2014,Climate,0.2178,0.0,0.6089,low,very low,high,2
DZA,Algeria,2015,Climate,0.2441,0.0,0.6221,low,very low,high,2
DZA,Algeria,2016,Climate,0.2567,0.0,0.6283,low,very low,high,2
DZA,Algeria,2017,Climate,0.2558,0.0,0.6279,low,very low,high,2
DZA,Algeria,2018,Climate,0.2608,0.0,0.6304,low,very low,high,2
DZA,Algeria,2019,Climate,0.2663,0.0,0.6331,low,very low,high,2
DZA,Algeria,2020,Climate,0.298,0.0,0.649,low,very low,high,2
DZA,Algeria,2021,Climate,0.2606,0.0,0.6303,low,very low,high,2
DZA,Algeria,2022,Climate,0.2468,0.0,0.6234,low,very low,high,2
DZA,Algeria,2023,Climate,0.3105,0.0,0.6552,low,very low,high,2
DZA,Algeria,2024,Climate,0.3243,0.0,0.6621,low,very low,high,2
DZA,Algeria,2005,Conflict,0.2285,0.442,0.3932,low,moderate,low,7
DZA,Algeria,2006,Conflict,0.2421,0.4401,0.401,low,moderate,moderate,7
DZA,Algeria,2007,Conflict,0.4132,0.4412,0.486,moderate,moderate,moderate,7
DZA,Algeria,2008,Conflict,0.4063,0.4395,0.4834,moderate,moderate,moderate,7
DZA,Algeria,2009,Conflict,0.3382,0.445,0.4466,low,moderate,moderate,7
DZA,Algeria,2010,Conflict,0.3422,0.4334,0.4544,low,moderate,moderate,7
DZA,Algeria,2011,Conflict,0.3506,0.4453,0.4526,low,moderate,moderate,7
DZA,Algeria,2012,Conflict,0.3403,0.4495,0.4454,low,moderate,moderate,7
DZA,Algeria,2013,Conflict,0.5084,0.4549,0.5267,moderate,moderate,moderate,7
DZA,Algeria,2014,Conflict,0.4969,0.4686,0.5142,moderate,moderate,moderate,7
DZA,Algeria,2015,Conflict,0.5718,0.4778,0.547,moderate,moderate,moderate,7
DZA,Algeria,2016,Conflict,0.5764,0.4764,0.55,moderate,moderate,moderate,7
DZA,Algeria,2017,Conflict,0.4796,0.4692,0.5052,moderate,moderate,moderate,7
DZA,Algeria,2018,Conflict,0.4597,0.457,0.5013,moderate,moderate,moderate,7
DZA,Algeria,2019,Conflict,0.4875,0.4549,0.5163,moderate,moderate,moderate,7
DZA,Algeria,2020,Conflict,0.476,0.4703,0.5028,moderate,moderate,moderate,7
DZA,Algeria,2021,Conflict,0.3934,0.455,0.4692,low,moderate,moderate,7
DZA,Algeria,2022,Conflict,0.3872,0.4395,0.4738,low,moderate,moderate,7
