conflict_id,dyad_id,location_inc,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,bd_best,bd_low,bd_high,type_of_conflict,battle_location,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,gwno_battle,region,version
13324,14236,"Kyrgyzstan, Tajikistan",Government of Kyrgyzstan,132,,Government of Tajikistan,131,,1,Common Border,2021,56,56,56,2,"Kyrgyzstan, Tajikistan",703,,702,,"703, 702","703, 702",3,24.1
13324,14236,"Kyrgyzstan, Tajikistan",Government of Kyrgyzstan,132,,Government of Tajikistan,131,,1,Common Border,2022,150,134,159,2,"Kyrgyzstan, Tajikistan",703,,702,,"703, 702","703, 702",3,24.1
13840,14953,Burkina Faso,Government of Burkina Faso,78,Government of France,IS,234,,1,Islamic State,2019,78,73,137,4,Burkina Faso,439,220,,,439,439,4,24.1
13840,14953,Burkina Faso,Government of Burkina Faso,78,Government of France,IS,234,,1,Islamic State,2020,160,131,182,4,Burkina Faso,439,220,,,439,439,4,24.1
13840,14953,Burkina Faso,Government of Burkina Faso,78,"Government of Niger, Government of France, Government of Chad, Government of Mali",IS,234,,1,Islamic State,2021,170,152,176,4,Burkina Faso,439,"436, 220, 483, 432",,,439,439,4,24.1
13840,14953,Burkina Faso,Government of Burkina Faso,78,"Government of Niger, Government of France",IS,234,,1,Islamic State,2022,402,252,422,4,Burkina Faso,439,"436, 220",,,439,439,4,24.1
13840,14953,Burkina Faso,Government of Burkina Faso,78,,IS,234,,1,Islamic State,2023,817,572,925,3,Burkina Faso,439,,,,439,439,4,24.1
13886,14741,Jordan,Government of Jordan,120,,IS,234,,1,Islamic State,2016,34,34,35,3,"Jordan, Syria",663,,,,663,"663, 652",2,24.1
13902,14701,Turkey,Government of Turkey,115,,IS,234,,1,Islamic State,2016,1107,1102,1107,3,"Turkey, Iraq, Syria",640,,,,640,"640, 652, 645",2,24.1
13902,14701,Turkey,Government of Turkey,115,,IS,234,,1,Islamic State,2017,750,683,902,3,"Turkey, Syria",640,,,,640,"640, 652",2,24.1
13902,14701,Turkey,Government of Turkey,115,,IS,234,,1,Islamic State,2015,26,26,27,3,"Turkey, Syria",640,,,,640,"640, 652",2,24.1
11342,11971,India,Government of India,141,,GNLA,1163,,1,Garoland,2012,27,23,27,3,India,750,,,,750,750,3,24.1
11342,11971,India,Government of India,141,,GNLA,1163,,1,Garoland,2014,26,23,32,3,India,750,,,,750,750,3,24.1
11344,11977,Sudan,Government of Sudan,112,,Republic of South Sudan,1129,,1,Abyei,2011,145,145,145,3,Sudan,625,,,,625,625,4,24.1
11345,12413,South Sudan,Government of South Sudan,113,,SPLM/A - IO,4226,,2,,2016,735,734,1155,3,South Sudan,626,,,,626,626,4,24.1
11345,12413,South Sudan,Government of South Sudan,113,,SPLM/A - IO,4226,,2,,2017,484,478,684,3,"South Sudan, Uganda",626,,,,626,"500, 626",4,24.1
11345,12413,South Sudan,Government of South Sudan,113,,SPLM/A - IO,4226,,2,,2018,526,497,727,3,South Sudan,626,,,,626,626,4,24.1
11345,15195,South Sudan,Government of South Sudan,113,,NAS,6794,,2,,2019,110,102,188,3,South Sudan,626,,,,626,626,4,24.1
11345,15195,South Sudan,Government of South Sudan,113,,NAS,6794,,2,,2020,58,49,135,3,South Sudan,626,,,,626,626,4,24.1
11345,"17033, 15195",South Sudan,Government of South Sudan,113,,"SPLM/A - IO - Kitgwang, NAS","8201, 6794",,2,,2021,188,188,209,3,South Sudan,626,,,,626,626,4,24.1
11345,"11979, 11978",South Sudan,Government of South Sudan,113,,"SSDM/A, SSLM/A","1124, 1108",,2,,2011,216,216,326,3,South Sudan,626,,,,626,626,4,24.1
11345,11979,South Sudan,Government of South Sudan,113,,SSLM/A,1124,,2,,2012,137,137,137,3,South Sudan,626,,,,626,626,4,24.1
11345,"11805, 12413",South Sudan,Government of South Sudan,113,,"SSDM/A - Cobra Faction, SPLM/A - IO","3563, 4226",,2,,2013,926,926,2318,3,South Sudan,626,,,,626,626,4,24.1
11345,12413,South Sudan,Government of South Sudan,113,Government of Uganda,SPLM/A - IO,4226,,2,,2014,1667,719,2993,4,South Sudan,626,500,,,626,626,4,24.1
11345,12413,South Sudan,Government of South Sudan,113,Government of Uganda,SPLM/A - IO,4226,,2,,2015,493,492,522,4,South Sudan,626,500,,,626,626,4,24.1
11346,"15225, 15333, 14059",Libya,Government of Libya,111,,"Forces of Khalifa al-Ghawil, PFLL, Forces of the House of Representatives","5802, 6893, 6814",,2,,2017,308,308,337,3,Libya,620,,,,620,620,4,24.1
11346,14059,Libya,Government of Libya,111,,Forces of the House of Representatives,5802,"Government of Sudan, Government of United Arab Emirates",2,,2019,1588,1381,1664,4,Libya,620,,,"625, 696",620,620,4,24.1
11346,14059,Libya,Government of Libya,111,Government of Turkey,Forces of the House of Representatives,5802,,2,,2020,668,564,784,4,Libya,620,640,,,620,620,4,24.1
